title,prize,amount,year,link,genre,film_length,animation,film_stage,latin,torrent_search,youtube_search
Krumped,Honorable Mention in Short Filmmaking,1,2004,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Krumped%202004,https://www.youtube.com/results?search_query=Krumped+2004
Papillon D’Amour,Honorable Mention in Short Filmmaking,1,2004,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Papillon%20D’Amour%202004,https://www.youtube.com/results?search_query=Papillon+D’Amour+2004
Spokane,Honorable Mention in Short Filmmaking,1,2004,https://en.m.wikipedia.org//wiki/Spokane_(film),,short,,,,https://rutracker.org/forum/tracker.php?nm=Spokane%202004,https://www.youtube.com/results?search_query=Spokane+2004
When the Storm Came,Jury Prize in Short Filmmaking,1,2004,,,short,,,,https://rutracker.org/forum/tracker.php?nm=When%20the%20Storm%20Came%202004,https://www.youtube.com/results?search_query=When+the+Storm+Came+2004
"Gowanus, Brooklyn",Jury Prize in Short Filmmaking,1,2004,,,short,,,,"https://rutracker.org/forum/tracker.php?nm=Gowanus,%20Brooklyn%202004","https://www.youtube.com/results?search_query=Gowanus,+Brooklyn+2004"
Tomo,Jury Prize in International Short Filmmaking,1,2004,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Tomo%202004,https://www.youtube.com/results?search_query=Tomo+2004
Strangers,Online Film Festival Audience Award Short Filmmaking,1,2004,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Strangers%202004,https://www.youtube.com/results?search_query=Strangers+2004
Drum Machine,Online Film Festival Audience Award Short Filmmaking Animation,1,2004,,,short,animation,,,https://rutracker.org/forum/tracker.php?nm=Drum%20Machine%202004,https://www.youtube.com/results?search_query=Drum+Machine+2004
Wet Dreams and False Images,Online Film Festival Jury Award Short Filmmaking,1,2004,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Wet%20Dreams%20and%20False%20Images%202004,https://www.youtube.com/results?search_query=Wet+Dreams+and+False+Images+2004
Bathtime in Clerkenwell,Online Film Festival Jury Award Short Filmmaking Animation,1,2004,https://en.m.wikipedia.org//wiki/Bathtime_in_Clerkenwell,,short,animation,,,https://rutracker.org/forum/tracker.php?nm=Bathtime%20in%20Clerkenwell%202004,https://www.youtube.com/results?search_query=Bathtime+in+Clerkenwell+2004
The Dawn at My Back: Memoir of a Texas Upgringing,Online Film Festival Jury Award Short Filmmaking New Forms,1,2004,,,short,,,,https://rutracker.org/forum/tracker.php?nm=The%20Dawn%20at%20My%20Back:%20Memoir%20of%20a%20Texas%20Upgringing%202004,https://www.youtube.com/results?search_query=The+Dawn+at+My+Back:+Memoir+of+a+Texas+Upgringing+2004
Farmingville,Special Jury Prize Documentary,1,2004,,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=Farmingville%202004,https://www.youtube.com/results?search_query=Farmingville+2004
Brother to Brother,Special Jury Prize Dramatic,1,2004,https://en.m.wikipedia.org//wiki/Brother_to_Brother_(film),dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Brother%20to%20Brother%202004,https://www.youtube.com/results?search_query=Brother+to+Brother+2004
Down to the Bone,Special Jury Prize for Acting,1,2004,,,,,acting,,https://rutracker.org/forum/tracker.php?nm=Down%20to%20the%20Bone%202004,https://www.youtube.com/results?search_query=Down+to+the+Bone+2004
We Don't Live Here Anymore,Waldo Salt Screenwriting Award,1,2004,https://en.m.wikipedia.org//wiki/We_Don%27t_Live_Here_Anymore,,,,screenwriting,,https://rutracker.org/forum/tracker.php?nm=We%20Don%27t%20Live%20Here%20Anymore%202004,https://www.youtube.com/results?search_query=We+Don%27t+Live+Here+Anymore+2004
The Corporation,World Cinema Audience Award Documentary,1,2004,https://en.m.wikipedia.org//wiki/The_Corporation_(2003_film),documentary,,,,,https://rutracker.org/forum/tracker.php?nm=The%20Corporation%202004,https://www.youtube.com/results?search_query=The+Corporation+2004
Seducing Doctor Lewis,World Cinema Audience Award Dramatic,1,2004,https://en.m.wikipedia.org//wiki/Seducing_Doctor_Lewis,dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Seducing%20Doctor%20Lewis%202004,https://www.youtube.com/results?search_query=Seducing+Doctor+Lewis+2004
Murderball,Special Jury Prize for Editing,1,2005,https://en.m.wikipedia.org//wiki/Murderball_(film),,,,editing,,https://rutracker.org/forum/tracker.php?nm=Murderball%202005,https://www.youtube.com/results?search_query=Murderball+2005
Murderball,Audience Award Documentary,1,2005,,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=Murderball%202005,https://www.youtube.com/results?search_query=Murderball+2005
Hustle & Flow,Audience Award Dramatic,1,2005,https://en.m.wikipedia.org//wiki/Hustle_%26_Flow,dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Hustle%20&%20Flow%202005,https://www.youtube.com/results?search_query=Hustle+&+Flow+2005
The Devil and Daniel Johnston,Directing Award Documentary,1,2005,https://en.m.wikipedia.org//wiki/The_Devil_and_Daniel_Johnston,documentary,,,directing,,https://rutracker.org/forum/tracker.php?nm=The%20Devil%20and%20Daniel%20Johnston%202005,https://www.youtube.com/results?search_query=The+Devil+and+Daniel+Johnston+2005
The Squid and the Whale,Directing Award Dramatic,1,2005,https://en.m.wikipedia.org//wiki/The_Squid_and_the_Whale,dramatic,,,directing,,https://rutracker.org/forum/tracker.php?nm=The%20Squid%20and%20the%20Whale%202005,https://www.youtube.com/results?search_query=The+Squid+and+the+Whale+2005
The Education of Shelby Knox,Excellence in Cinematography Award Documentary,1,2005,https://en.m.wikipedia.org//wiki/The_Education_of_Shelby_Knox,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=The%20Education%20of%20Shelby%20Knox%202005,https://www.youtube.com/results?search_query=The+Education+of+Shelby+Knox+2005
Hustle & Flow,Excellence in Cinematography Award Dramatic,1,2005,,dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Hustle%20&%20Flow%202005,https://www.youtube.com/results?search_query=Hustle+&+Flow+2005
Why We Fight,Grand Jury Prize Documentary,1,2005,https://en.m.wikipedia.org//wiki/Why_We_Fight_(2005_film),documentary,,,,,https://rutracker.org/forum/tracker.php?nm=Why%20We%20Fight%202005,https://www.youtube.com/results?search_query=Why+We+Fight+2005
Forty Shades of Blue,Grand Jury Prize Dramatic,1,2005,https://en.m.wikipedia.org//wiki/Forty_Shades_of_Blue,dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Forty%20Shades%20of%20Blue%202005,https://www.youtube.com/results?search_query=Forty+Shades+of+Blue+2005
One Weekend A Month,Honorable Mention in Short Filmmaking,1,2005,,,short,,,,https://rutracker.org/forum/tracker.php?nm=One%20Weekend%20A%20Month%202005,https://www.youtube.com/results?search_query=One+Weekend+A+Month+2005
Small Town Secrets,Honorable Mention in Short Filmmaking,1,2005,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Small%20Town%20Secrets%202005,https://www.youtube.com/results?search_query=Small+Town+Secrets+2005
Victoria Para Chino,Honorable Mention in Short Filmmaking,1,2005,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Victoria%20Para%20Chino%202005,https://www.youtube.com/results?search_query=Victoria+Para+Chino+2005
Tama Tu,Honorable Mention in Short Filmmaking,1,2005,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Tama%20Tu%202005,https://www.youtube.com/results?search_query=Tama+Tu+2005
Ryan,Honorable Mention in Short Filmmaking,1,2005,https://en.m.wikipedia.org//wiki/Ryan_(film),,short,,,,https://rutracker.org/forum/tracker.php?nm=Ryan%202005,https://www.youtube.com/results?search_query=Ryan+2005
Bullets in the Hood: A Bed-Stuy Story,Honorable Mention in Short Filmmaking,1,2005,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Bullets%20in%20the%20Hood:%20A%20Bed-Stuy%20Story%202005,https://www.youtube.com/results?search_query=Bullets+in+the+Hood:+A+Bed-Stuy+Story+2005
Family Portrait,Jury Prize in Short Filmmaking,1,2005,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Family%20Portrait%202005,https://www.youtube.com/results?search_query=Family+Portrait+2005
Wasp,Jury Prize in International Short Filmmaking,1,2005,https://en.m.wikipedia.org//wiki/Wasp_(2003_film),,short,,,,https://rutracker.org/forum/tracker.php?nm=Wasp%202005,https://www.youtube.com/results?search_query=Wasp+2005
After Innocence,Special Jury Prize Documentary,1,2005,https://en.m.wikipedia.org//wiki/After_Innocence,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=After%20Innocence%202005,https://www.youtube.com/results?search_query=After+Innocence+2005
Junebug,Special Jury Prize for Acting,1,2005,https://en.m.wikipedia.org//wiki/Junebug_(film),,,,acting,,https://rutracker.org/forum/tracker.php?nm=Junebug%202005,https://www.youtube.com/results?search_query=Junebug+2005
Thumbsucker,Special Jury Prize for Acting,1,2005,https://en.m.wikipedia.org//wiki/Thumbsucker_(film),,,,acting,,https://rutracker.org/forum/tracker.php?nm=Thumbsucker%202005,https://www.youtube.com/results?search_query=Thumbsucker+2005
Me and You and Everyone We Know,Special Jury Prize for Originality of Vision Dramatic,1,2005,https://en.m.wikipedia.org//wiki/Me_and_You_and_Everyone_We_Know,dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Me%20and%20You%20and%20Everyone%20We%20Know%202005,https://www.youtube.com/results?search_query=Me+and+You+and+Everyone+We+Know+2005
Brick,Special Jury Prize for Originality of Vision Dramatic,1,2005,https://en.m.wikipedia.org//wiki/Brick_(film),dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Brick%202005,https://www.youtube.com/results?search_query=Brick+2005
The Squid and the Whale,Waldo Salt Screenwriting Award,1,2005,,,,,screenwriting,,https://rutracker.org/forum/tracker.php?nm=The%20Squid%20and%20the%20Whale%202005,https://www.youtube.com/results?search_query=The+Squid+and+the+Whale+2005
Shape of the Moon,World Cinema Jury Prize Documentary,1,2005,https://en.m.wikipedia.org//wiki/Shape_of_the_Moon,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=Shape%20of%20the%20Moon%202005,https://www.youtube.com/results?search_query=Shape+of+the+Moon+2005
The Hero,World Cinema Jury Prize Dramatic,1,2005,https://en.m.wikipedia.org//wiki/The_Hero_(2004_film),dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=The%20Hero%202005,https://www.youtube.com/results?search_query=The+Hero+2005
Brothers,World Cinema Audience Award Dramatic,1,2005,https://en.m.wikipedia.org//wiki/Brothers_(2004_film),dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Brothers%202005,https://www.youtube.com/results?search_query=Brothers+2005
The Liberace of Baghdad,World Cinema Special Jury Prize Documentary,1,2005,https://en.m.wikipedia.org//wiki/The_Liberace_of_Baghdad,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=The%20Liberace%20of%20Baghdad%202005,https://www.youtube.com/results?search_query=The+Liberace+of+Baghdad+2005
Wall,World Cinema Special Jury Prize Documentary,1,2005,,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=Wall%202005,https://www.youtube.com/results?search_query=Wall+2005
The Forest For the Trees,World Cinema Special Jury Prize Dramatic,1,2005,,dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=The%20Forest%20For%20the%20Trees%202005,https://www.youtube.com/results?search_query=The+Forest+For+the+Trees+2005
Live-In Maid,World Cinema Special Jury Prize Dramatic,1,2005,https://en.m.wikipedia.org//wiki/Live-In_Maid,dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Live-In%20Maid%202005,https://www.youtube.com/results?search_query=Live-In+Maid+2005
The House of Sand,,1,2006,https://en.m.wikipedia.org//wiki/The_House_of_Sand,,,,,,https://rutracker.org/forum/tracker.php?nm=The%20House%20of%20Sand%202006,https://www.youtube.com/results?search_query=The+House+of+Sand+2006
God Grew Tired of Us,Audience Award Documentary,1,2006,https://en.m.wikipedia.org//wiki/God_Grew_Tired_of_Us,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=God%20Grew%20Tired%20of%20Us%202006,https://www.youtube.com/results?search_query=God+Grew+Tired+of+Us+2006
Quinceañera,Audience Award Dramatic,1,2006,https://en.m.wikipedia.org//wiki/Quincea%C3%B1era_(film),dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Quinceañera%202006,https://www.youtube.com/results?search_query=Quinceañera+2006
